S26,S25A,S25B,S4
875.55,0,828.86,1.56
920.21,151.78,1019.13,1.03
966.03,146.03,1068.7,0.49
917.81,69.98,1050.74,0.22
932.64,56.14,857.69,0.34
755.64,0,327.51,0.8
545.38,0,0,1.39
17.05,0,0,1.89
0,0,0,2.41
0,0,0,2.67
0,0,0,2.63
202.29,0,0,2.25
758.47,0,722.08,1.75
841.32,151.92,948.28,1.22
939.86,146.36,1061.74,0.61
916.05,141.13,1000.41,0.25
871.74,58.38,868.73,0.24
741.87,0,484.33,0.61
556.27,0,0,1.18
182.53,0,0,1.71
0,0,0,2.19
0,0,0,2.58
0,0,0,2.66
0,0,0,2.38
425.02,0,625.97,1.83
754.43,151.86,904.03,1.23
859.26,146.6,1008.41,0.67
893.63,140.89,1045.08,0.24
908.91,60.69,906.23,0.17
833.97,0,684.51,0.45
591.05,0,0,0.92
349.16,0,0,1.45
0,0,0,1.99
0,0,0,2.43
0,0,0,2.67
0,0,0,2.5
0,0,230.67,1.99
720.84,0,804.03,1.38
805.04,147.88,979.93,0.88
858.43,142.73,1019.37,0.41
862.84,61.6,954.46,0.22
827.49,50.08,714.67,0.38
677.58,0,216.75,0.8
413.48,0,0,1.32
0,0,0,1.85
0,0,0,2.42
0,0,0,2.75
0,0,0,2.85
0,0,0,2.58
178.86,0,750.42,1.91
975.68,42.2,1120.05,1.31
848.38,42.27,1192.97,0.85
706.55,41.27,1190.37,0.57
742.29,20.41,915.62,0.69
666.31,41.45,348.24,1.07
856.21,65.82,484.3,1.8
590.87,62.48,797.07,2.2
546.07,94.56,921.59,2.82
621.71,89.59,915.35,3.13
445.89,88.5,754.24,3.53
467.05,380,358.72,3.25
733.07,52.32,872.7,2.61
723.62,50.75,1100.44,2.08
421.4,54.85,1234.34,1.61
912.72,55.17,1355.81,1.23
904,38.57,964.59,1.03
800.81,32.6,587.98,1.28
512.09,53.39,460.71,2.03
909.63,43.92,1100.78,2.35
895.27,73.91,1544.38,3.02
1269.3,104.87,1646.03,3.47
1464.28,105.25,1646.49,3.77
1450.43,75.47,1101.98,3.62
1026.69,61.57,833.95,3.28
687.62,34.04,866.87,2.91
828.31,78.66,1326.96,2.36
583.79,72.35,357.47,2.14
920.37,33.54,882.97,2.1
827.08,31.62,827.26,2.37
869.04,66.43,990.29,3
1034.75,59.58,1431.8,3.8
1372.26,90.84,1617.84,4.26
1625.56,100.06,1507.97,4.86
1616.25,106.88,859.98,5.21
1685.79,110.46,659.23,5.45
1702.37,100.85,859.64,5.35
1575.73,78.13,551.61,5.47
1196.01,43.58,1128.27,4.51
828.87,114.11,1334.92,3.76
1165.49,144.2,1469.59,3.39
1374.79,162.83,1911.29,2.92
1396.38,189.02,1864.69,2.55
1409.98,179.17,1721.9,2.41
1421.22,91.04,1495.97,2.57
1298.02,142.51,1189.22,2.92
1096.28,104.23,1202.89,3.22
1166.04,87.48,1145.62,3.24
1231.17,88.24,1130.63,3.09
1350.47,90.38,1268.8,2.74
1451.09,85.51,1454.96,2.23
1468.24,86.7,1435.72,1.71
1542.28,79.74,1525.41,1.37
1521.4,68.29,1494.84,1.02
1548.93,65.94,1271.83,0.89
1459.34,42.73,880.77,1.03
1308.67,286.11,999.96,1.51
1090.47,55.21,726.02,2.06
978.62,48.37,827.54,2.42
922.84,48.34,630,2.7
866.79,46.21,981.07,2.74
1039.41,4.55,1652.42,2.54
1127.01,169.84,1144.69,2.25
1227.1,207.23,638.97,1.93
1013.66,201.66,1538.04,1.57
1671.36,195.44,1415.37,1.11
1243.48,190.94,1421.99,1
1254.16,187.47,1247.29,0.92
1354.28,184.91,1054.89,1.28
1124.51,148.92,790.58,1.72
987.97,0,630.02,2.1
842.48,0,630.01,2.45
783.2,0,630,2.58
868.33,170.36,989.39,2.45
1089.89,167.11,1176.85,2.12
1213.01,164.27,1290.14,1.74
1344.77,198.65,1368.77,1.37
1265.09,95.48,1373.65,0.98
1160.56,93.42,1525.14,0.72
1119.14,84.47,1093.41,0.63
1044.92,75.16,1142.64,0.77
1016.23,150.2,798.72,1.15
939.38,39.07,629.96,1.61
849,0,630,2.02
686.02,0,629.99,2.36
687.16,0,629.99,2.47
783.8,41.12,797.96,2.33
1031.39,164.88,1067.38,1.96
1191.42,161.42,1201.48,1.61
1267.05,157.77,1267.91,1.26
1139.49,153.88,1272.98,0.97
1147.61,150.83,1222.61,0.82
1103.78,148.63,1066.08,0.87
1052.12,147.25,795.32,1.13
891.25,148.08,629.94,1.6
759.93,151.33,629.99,1.93
618.85,155.39,629.99,2.25
619.89,157,629.98,2.36
620.57,156.14,630,2.21
966.92,153.57,985.9,1.88
1017.02,158.95,1675.48,1.53
1260.56,155.87,1106.44,1.09
1190.26,152.45,1141.7,0.79
1098.55,149.45,1137.17,0.57
1091.71,146.42,1017.92,0.5
1022.87,143.83,820.77,0.67
958.63,37.34,512.09,1.12
800.96,0,0,1.6
631.73,0,0,2.01
448.25,0,0,2.39
425.7,0,0,2.51
672.84,0,757.11,2.35
902.71,165.09,938.19,2.01
993.56,198.89,516.59,1.67
1070.92,75.55,1248.64,1.36
1112.64,71.89,1244.65,1.03
1101.16,67.4,1147.66,0.86
1047.8,147.45,1033.18,0.89
954.14,0,629.78,1.17
