S26,S25A,S25B,S4
0,0,499.16,0.67
0,0,429.18,1.15
383.38,0,353.28,1.62
304.33,0,272.66,2.09
187.61,0,177.06,2.46
0,0,0,2.65
0,0,0,2.56
271.69,0,0,2.15
388.98,157.29,0,1.66
469.64,0,0,1.11
531.09,0,0,0.62
0,0,0,0.33
0,0,0,0.34
0,68,493.18,0.72
0,0,414.67,1.32
356.97,0,336.22,1.82
250.45,0,223.49,2.3
0,0,108.15,2.65
0,0,0,2.8
0,0,0,2.65
269.15,0,0,2.12
398.71,109.68,0,1.56
471.76,0,0,1.03
520.62,0,0,0.6
0,0,0,0.45
0,0,493.11,0.65
0,0,440.52,1.17
0,0,339.25,1.75
250.76,0,231.04,2.26
0,0,132.97,2.63
0,0,0,2.83
0,0,0,2.74
223.31,0,0,2.32
365,106.85,0,1.77
441.87,0,0,1.19
518.86,0,0,0.64
0,0,0,0.3
0,0,0,0.3
0,156.73,0,0.67
0,0,0,1.32
327.44,0,0,1.88
182.95,0,238.75,2.4
0,0,124.28,2.75
0,0,0,2.83
0,0,0,2.54
296.94,39.98,295.82,2.02
406.14,154.92,376.95,1.43
485.4,0,445.1,0.86
22.8,0,501.21,0.4
0,0,531.14,0.24
0,0,498.91,0.44
0,0,425.08,1.03
0,101.57,313.86,1.69
0,0,207.83,2.24
0,0,0,2.75
0,0,0,2.99
0,0,0,2.88
220.65,0,0,2.36
368.41,159.14,0,1.75
455.88,0,0,1.15
522.44,0,0,0.64
0,0,0,0.33
0,0,0,0.33
0,0,0,0.83
0,0,0,1.53
276,0,0,2.14
0,0,0,2.67
0,0,0,3.03
0,0,0,3.1
0,0,0,2.72
289.09,0,0,2.11
369.24,156.55,357.15,1.54
455.5,0,446.46,0.91
532.02,0,496.44,0.5
0,0,516.86,0.38
0,0,475.09,0.65
0,0,388.54,1.33
0,0,263.18,1.99
0,0,100.91,2.58
0,0,0,3.01
0,0,0,3.21
0,0,0,3.04
0,0,0,2.43
339.95,161.21,0,1.82
445.05,101.15,0,1.19
522.36,0,0,0.62
0,0,0,0.31
0,0,0,0.38
0,157.43,0,0.9
0,0,0,1.69
252.92,0,0,2.24
0,0,0,2.74
0,0,0,3.05
0,0,0,2.99
0,0,0,2.48
340.04,161.38,0,1.9
428.44,110.23,408.8,1.26
503.34,0,470.98,0.67
0,0,519.14,0.31
0,0,533.15,0.2
0,0,491.18,0.58
0,101.72,388.26,1.31
0,0,268.11,1.97
0,0,44.03,2.57
0,0,0,3
0,0,0,3.17
0,0,0,2.9
232.19,0,0,2.28
375.94,105.91,0,1.66
473.78,0,0,1.02
545.94,0,0,0.47
0,0,0,0.19
0,0,0,0.42
0,157.85,0,1
0,0,0,1.69
242.38,0,0,2.28
0,0,0,2.71
0,0,0,2.89
0,0,0,2.69
269.31,0,0,2.17
397.32,110.02,0,1.56
491.37,0,0,0.87
416.09,0,0,0.22
0,0,0,-0.11
0,0,0,-0.1
0,0,0,0.35
485.48,0,0,1.03
371.26,0,0,1.72
228.94,0,179.34,2.29
0,0,138.42,2.66
0,0,0,2.73
0,0,0,2.38
361.51,159.31,0,1.76
461.26,31.68,0,1.13
531.16,0,0,0.52
0,0,0,0.07
0,0,0,-0.11
0,0,0,0.19
0,0,0,0.84
405.57,0,0,1.48
310.99,0,0,1.99
195.35,0,0,2.39
0,0,0,2.48
0,0,0,2.23
353.51,160.01,338.89,1.69
452.13,0,418.09,1.09
527.71,0,481.75,0.48
0,0,542.88,-0.06
0,0,570.12,-0.27
0,0,556.75,-0.17
0,0,501.09,0.36
0,0,412.42,1.02
376.17,0,318.88,1.63
274.2,0,201.36,2.17
65.06,0,0,2.48
0,0,0,2.46
0,0,0,2.07
406.92,156.39,365.78,1.5
491.11,0,436.85,0.91
561.28,0,496.75,0.32
0,0,546.71,-0.05
0,0,553.43,-0.09
588.72,0,509.58,0.29
513.41,0,431.74,0.88
420.04,0,355.02,1.37
327.79,0,273.99,1.86
244.93,0,197.02,2.15
235.24,0,179.74,2.15
