S26,S25A,S25B,S4
298.333,54.88,349.265,1.75
298.333,53.0215,354.0775,1.31
289.387,51.163,358.89,1.13
266.448,50.1445,328.426,1.25
216.1775,0,268.8245,1.63
90.314,0,85.3825,2.1
0,0,0,2.57
0,0,0,3.05
0,0,0,3.3
0,0,0,3.27
0,0,0,2.84
136.199,0,57.2845,2.28
216.6465,56.189,268.2575,1.84
300.699,53.704,333.5535,1.36
296.9645,51.464,357.1715,1.13
279.944,50.3125,334.8765,1.13
231.7385,0,282.205,1.58
86.4745,0,77.9695,2.12
0,0,-24.962,2.55
0,0,0,3.07
0,0,0,3.42
0,0,0,3.44
0,0,0,3.15
0,0,0,2.65
157.227,0,162.064,2.11
251.8145,54.8625,314.027,1.6
299.8625,52.4055,357.4235,1.29
280.154,51.1,339.71,1.28
251.9755,0,295.141,1.57
118.9895,0,129.934,2.06
0,0,0,2.56
0,0,0,3.05
0,0,0,3.45
0,0,0,3.63
0,0,0,3.45
0,0,0,2.96
108.794,0,0,2.42
232.029,56.5425,255.052,1.88
277.151,53.8265,350.4375,1.42
307.1215,51.828,360.1115,1.24
278.6455,51.961,463.82,1.46
243.32,36.0395,315.266,1.83
117.2955,0,192.3145,2.32
0,0,-83.9615,2.75
0,0,0,3.13
0,0,0,3.38
0,79.8455,0,3.34
105.7595,46.7565,146.8425,2.81
239.5575,35.098,331.387,2.31
304.5805,31.129,387.7125,1.76
381.185,35.147,423.381,1.22
357.4305,30.5445,575.5855,0.98
322.6825,22.323,542.038,1.1
289.156,51.4535,477.9355,1.58
183.4035,0,217.133,2.12
91.5705,0,72.793,2.66
216.377,0,220.3985,3.13
216.8775,0,220.3845,3.56
217.4725,0,220.388,3.61
218.1445,43.316,220.4965,3.31
219.0965,58.436,220.5,2.98
331.59,50.141,427.49,2.36
400.5155,43.7745,492.282,1.78
432.964,38.4965,505.4945,1.41
408.905,30.842,507.57,1.44
380.1455,24.08,459.2735,1.75
320.145,0,408.464,2.44
258.867,0,259.8715,2.87
219.2085,0,220.4965,3.31
160.7235,0,220.4965,3.59
219.9295,0,220.4545,3.83
220.045,0,220.4965,3.61
220.08,78.0115,220.5245,3.13
346.325,75.404,409.9585,2.64
376.7715,43.876,487.0145,2.13
435.603,43.4,519.9285,1.52
438.7075,37.926,524.426,1.39
432.8975,32.809,519.9425,1.49
389.242,54.551,464.359,1.94
281.9145,0,335.7235,2.55
218.659,0,220.4965,3.15
219.058,0,220.451,3.5
146.671,0,220.437,3.65
219.562,0,220.444,3.54
219.737,0,220.5,3.26
322.826,61.2395,273.2835,2.71
375.9245,72.737,405.972,2.04
402.22,40.4355,502.5685,1.52
445.676,36.1655,507.241,1.19
488.7855,30.464,464.59,1.17
425.887,20.783,407.897,1.49
318.3355,0,330.1445,2
236.5965,0,239.54,2.48
217.6615,0,220.5,2.76
217.9975,0,220.479,3.03
218.1725,0,220.4895,2.95
218.351,30.6705,220.5,2.65
340.382,71.4595,315.406,2.09
394.352,38.528,435.113,1.53
431.1545,35.4585,475.3665,0.92
446.2465,30.38,470.9635,0.55
430.087,25.5115,440.279,0.5
361.9595,18.473,410.4485,0.78
345.0545,8.708,334.4425,1.28
287.4375,0,221.5325,1.83
216.0445,0,105.0595,2.31
216.5205,0,220.423,2.73
57.4175,0,146.986,2.87
217.329,0,146.9825,2.82
217.4165,0,147.0035,2.41
331.849,56.9835,300.8075,1.95
385.9695,35.7805,385.7,1.5
399.1925,33.0295,416.703,1.06
388.5595,50.463,427.6755,0.85
327.7435,38.4405,398.86,1.02
305.193,11.053,360.6925,1.38
248.8605,0,249.4065,1.82
215.537,0,361.2,2.27
215.9115,0,220.451,2.62
216.153,0,220.43,2.81
216.3665,0,220.43,2.79
144.8125,0,220.4965,2.33
291.9245,55.5975,220.5,1.83
365.064,35.0385,363.5695,1.35
350.714,32.0355,426.0585,0.96
351.876,30.6215,395.584,0.61
308.0315,36.925,405.454,0.69
303.331,50.0395,344.456,1.04
268.282,0,317.9155,1.56
176.3545,0,97.2825,2.05
129.6925,0,-66.4475,2.55
215.901,0,146.937,3.03
216.0655,0,146.9195,3.09
216.2265,0,146.9405,3.04
216.377,0,146.993,2.63
216.447,57.694,147.0105,2.23
216.0235,55.573,327.7855,1.76
307.2055,53.7845,376.11,1.37
342.552,0,401.408,1.19
309.2425,54.2675,347.4275,1.42
248.017,0,311.388,1.7
215.215,0,277.5465,2.15
215.467,0,220.4685,2.61
215.6175,0,220.395,2.94
215.761,0,220.3145,3.1
215.866,0,220.3635,2.99
216.069,0,220.458,2.58
216.1005,57.246,220.5,2.1
281.939,55.076,222.544,1.64
339.3845,0,372.239,1.25
338.7545,0,396.018,1.21
322.182,0,365.533,1.37
236.1205,0,274.568,1.68
164.066,0,220.472,2.19
144.144,0,220.4055,2.74
215.6945,0,220.2235,3.26
215.7645,0,220.0135,3.64
215.838,0,219.8945,3.74
215.9395,0,220.01,3.54
215.978,0,220.241,3.17
216.006,0,220.423,2.69
216.048,57.9985,220.486,2.27
216.0445,56.035,220.4965,2.02
251.1425,54.824,220.4965,1.95
237.097,0,220.5,2.01
215.6385,0,220.4965,2.43
215.719,0,220.444,2.82
144.4555,0,220.3215,3.24
