S26,S25A,S25B,S4
852.38,156.8,997.9,3.75
852.38,151.49,1011.65,3.31
826.82,146.18,1025.4,3.13
761.28,143.27,938.36,3.25
617.65,0,768.07,3.63
258.04,0,243.95,4.1
0,0,0,4.57
0,0,0,5.05
0,0,0,5.3
0,0,0,5.27
0,0,0,4.84
389.14,0,163.67,4.28
618.99,160.54,766.45,3.84
859.14,153.44,953.01,3.36
848.47,147.04,1020.49,3.13
799.84,143.75,956.79,3.13
662.11,0,806.3,3.58
247.07,0,222.77,4.12
0,0,-71.32,4.55
0,0,0,5.07
0,0,0,5.42
0,0,0,5.44
0,0,0,5.15
0,0,0,4.65
449.22,0,463.04,4.11
719.47,156.75,897.22,3.6
856.75,149.73,1021.21,3.29
800.44,146,970.6,3.28
719.93,0,843.26,3.57
339.97,0,371.24,4.06
0,0,0,4.56
0,0,0,5.05
0,0,0,5.45
0,0,0,5.63
0,0,0,5.45
0,0,0,4.96
310.84,0,0,4.42
662.94,161.55,728.72,3.88
791.86,153.79,1001.25,3.42
877.49,148.08,1028.89,3.24
796.13,148.46,1325.2,3.46
695.2,102.97,900.76,3.83
335.13,0,549.47,4.32
0,0,-239.89,4.75
0,0,0,5.13
0,0,0,5.38
0,228.13,0,5.34
302.17,133.59,419.55,4.81
684.45,100.28,946.82,4.31
870.23,88.94,1107.75,3.76
1089.1,100.42,1209.66,3.22
1021.23,87.27,1644.53,2.98
921.95,63.78,1548.68,3.1
826.16,147.01,1365.53,3.58
524.01,0,620.38,4.12
261.63,0,207.98,4.66
618.22,0,629.71,5.13
619.65,0,629.67,5.56
621.35,0,629.68,5.61
623.27,123.76,629.99,5.31
625.99,166.96,630,4.98
947.4,143.26,1221.4,4.36
1144.33,125.07,1406.52,3.78
1237.04,109.99,1444.27,3.41
1168.3,88.12,1450.2,3.44
1086.13,68.8,1312.21,3.75
914.7,0,1167.04,4.44
739.62,0,742.49,4.87
626.31,0,629.99,5.31
459.21,0,629.99,5.59
628.37,0,629.87,5.83
628.7,0,629.99,5.61
628.8,222.89,630.07,5.13
989.5,215.44,1171.31,4.64
1076.49,125.36,1391.47,4.13
1244.58,124,1485.51,3.52
1253.45,108.36,1498.36,3.39
1236.85,93.74,1485.55,3.49
1112.12,155.86,1326.74,3.94
805.47,0,959.21,4.55
624.74,0,629.99,5.15
625.88,0,629.86,5.5
419.06,0,629.82,5.65
627.32,0,629.84,5.54
627.82,0,630,5.26
922.36,174.97,780.81,4.71
1074.07,207.82,1159.92,4.04
1149.2,115.53,1435.91,3.52
1273.36,103.33,1449.26,3.19
1396.53,87.04,1327.4,3.17
1216.82,59.38,1165.42,3.49
909.53,0,943.27,4
675.99,0,684.4,4.48
621.89,0,630,4.76
622.85,0,629.94,5.03
623.35,0,629.97,4.95
623.86,87.63,630,4.65
972.52,204.17,901.16,4.09
1126.72,110.08,1243.18,3.53
1231.87,101.31,1358.19,2.92
1274.99,86.8,1345.61,2.55
1228.82,72.89,1257.94,2.5
1034.17,52.78,1172.71,2.78
985.87,24.88,955.55,3.28
821.25,0,632.95,3.83
617.27,0,300.17,4.31
618.63,0,629.78,4.73
164.05,0,419.96,4.87
620.94,0,419.95,4.82
621.19,0,420.01,4.41
948.14,162.81,859.45,3.95
1102.77,102.23,1102,3.5
1140.55,94.37,1190.58,3.06
1110.17,144.18,1221.93,2.85
936.41,109.83,1139.6,3.02
871.98,31.58,1030.55,3.38
711.03,0,712.59,3.82
615.82,0,1032,4.27
616.89,0,629.86,4.62
617.58,0,629.8,4.81
618.19,0,629.8,4.79
413.75,0,629.99,4.33
834.07,158.85,630,3.83
1043.04,100.11,1038.77,3.35
1002.04,91.53,1217.31,2.96
1005.36,87.49,1130.24,2.61
880.09,105.5,1158.44,2.69
866.66,142.97,984.16,3.04
766.52,0,908.33,3.56
503.87,0,277.95,4.05
370.55,0,-189.85,4.55
616.86,0,419.82,5.03
617.33,0,419.77,5.09
617.79,0,419.83,5.04
618.22,0,419.98,4.63
618.42,164.84,420.03,4.23
617.21,158.78,936.53,3.76
877.73,153.67,1074.6,3.37
978.72,0,1146.88,3.19
883.55,155.05,992.65,3.42
708.62,0,889.68,3.7
614.9,0,792.99,4.15
615.62,0,629.91,4.61
616.05,0,629.7,4.94
616.46,0,629.47,5.1
616.76,0,629.61,4.99
617.34,0,629.88,4.58
617.43,163.56,630,4.1
805.54,157.36,635.84,3.64
969.67,0,1063.54,3.25
967.87,0,1131.48,3.21
920.52,0,1044.38,3.37
674.63,0,784.48,3.68
468.76,0,629.92,4.19
411.84,0,629.73,4.74
616.27,0,629.21,5.26
616.47,0,628.61,5.64
616.68,0,628.27,5.74
616.97,0,628.6,5.54
617.08,0,629.26,5.17
617.16,0,629.78,4.69
617.28,165.71,629.96,4.27
617.27,160.1,629.99,4.02
717.55,156.64,629.99,3.95
677.42,0,630,4.01
616.11,0,629.99,4.43
616.34,0,629.84,4.82
412.73,0,629.49,5.24
